engine_id,current_cycle,predicted_rul,risk_level
ENGINE-034,203,6.2,CRITICAL
ENGINE-076,205,6.4,CRITICAL
ENGINE-081,213,7.3,CRITICAL
ENGINE-082,162,8.1,CRITICAL
ENGINE-068,187,8.1,CRITICAL
ENGINE-020,184,9.1,CRITICAL
ENGINE-031,196,11.0,CRITICAL
ENGINE-035,198,12.6,CRITICAL
ENGINE-042,156,12.6,CRITICAL
ENGINE-049,303,15.1,HIGH
ENGINE-056,136,16.7,HIGH
ENGINE-066,147,17.3,HIGH
ENGINE-036,126,18.9,HIGH
ENGINE-024,186,19.0,HIGH
ENGINE-092,150,20.2,HIGH
ENGINE-100,198,20.5,HIGH
ENGINE-041,123,22.3,HIGH
ENGINE-061,159,25.2,HIGH
ENGINE-090,146,25.5,HIGH
ENGINE-037,121,25.7,HIGH
ENGINE-091,234,27.5,HIGH
ENGINE-053,164,29.5,HIGH
ENGINE-018,133,30.9,MEDIUM
ENGINE-052,189,33.7,MEDIUM
ENGINE-064,168,37.5,MEDIUM
ENGINE-046,146,38.6,MEDIUM
ENGINE-040,133,38.7,MEDIUM
ENGINE-058,176,39.8,MEDIUM
ENGINE-062,232,46.4,MEDIUM
ENGINE-017,165,48.4,MEDIUM
ENGINE-093,244,48.8,MEDIUM
ENGINE-077,162,49.0,MEDIUM
ENGINE-003,126,51.9,MEDIUM
ENGINE-032,145,52.9,MEDIUM
ENGINE-038,125,55.2,MEDIUM
ENGINE-021,148,57.6,MEDIUM
ENGINE-084,172,70.2,LOW
ENGINE-045,152,72.6,LOW
ENGINE-098,121,77.4,LOW
ENGINE-063,155,78.2,LOW
ENGINE-043,172,80.8,LOW
ENGINE-074,137,83.2,LOW
ENGINE-012,217,84.5,LOW
ENGINE-094,133,84.6,LOW
ENGINE-010,192,86.8,LOW
ENGINE-072,131,89.6,LOW
ENGINE-057,160,94.2,LOW
ENGINE-097,134,94.2,LOW
ENGINE-011,83,94.3,LOW
ENGINE-080,133,95.1,LOW
ENGINE-019,135,95.9,LOW
ENGINE-029,171,97.6,LOW
ENGINE-016,113,97.9,LOW
ENGINE-007,160,98.0,LOW
ENGINE-013,195,98.0,LOW
ENGINE-071,68,98.3,LOW
ENGINE-004,106,98.3,LOW
ENGINE-030,143,98.7,LOW
ENGINE-005,98,99.1,LOW
ENGINE-075,88,100.0,LOW
ENGINE-050,74,101.1,LOW
ENGINE-070,152,103.2,LOW
ENGINE-028,158,103.4,LOW
ENGINE-087,56,103.9,LOW
ENGINE-086,110,104.9,LOW
ENGINE-055,113,105.4,LOW
ENGINE-047,73,107.4,LOW
ENGINE-026,76,107.7,LOW
ENGINE-089,177,109.1,LOW
ENGINE-008,166,109.3,LOW
ENGINE-067,71,111.1,LOW
ENGINE-095,89,111.2,LOW
ENGINE-025,48,111.7,LOW
ENGINE-060,147,112.1,LOW
ENGINE-059,94,113.0,LOW
ENGINE-079,101,113.1,LOW
ENGINE-014,46,113.2,LOW
ENGINE-002,49,113.6,LOW
ENGINE-051,144,114.2,LOW
ENGINE-015,76,115.0,LOW
ENGINE-027,140,115.2,LOW
ENGINE-039,37,116.3,LOW
ENGINE-001,31,117.1,LOW
ENGINE-009,55,117.7,LOW
ENGINE-054,121,118.0,LOW
ENGINE-044,54,118.2,LOW
ENGINE-033,50,120.2,LOW
ENGINE-088,68,120.8,LOW
ENGINE-078,72,121.0,LOW
ENGINE-065,71,121.1,LOW
ENGINE-073,112,121.4,LOW
ENGINE-096,97,121.4,LOW
ENGINE-085,34,121.5,LOW
ENGINE-006,105,121.6,LOW
ENGINE-083,73,121.8,LOW
ENGINE-022,39,122.1,LOW
ENGINE-023,130,122.8,LOW
ENGINE-099,97,122.9,LOW
ENGINE-048,78,123.8,LOW
ENGINE-069,54,124.0,LOW
